City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Shimoda,34.6667,138.95,61.3,80,43,4.21,JP,1669062559
82,Kahului,20.8947,-156.47,80.83,64,40,18.41,US,1669062560
83,Lorengau,-2.0226,147.2712,81.19,70,100,6.2,PG,1669062561
84,Saint-Philippe,-21.3585,55.7679,72.99,78,7,4.03,RE,1669062562
85,Terrace,54.5163,-128.6035,35.51,100,100,3.44,CA,1669062563
86,Cape Town,-33.9258,18.4232,65.26,65,0,14.97,ZA,1669062564
87,Paamiut,61.994,-49.6678,19.47,87,71,5.3,GL,1669062564
88,Khatanga,71.9667,102.5,-38.47,100,65,1.01,RU,1669062565
89,Port Alfred,-33.5906,26.891,69.19,91,27,4.0,ZA,1669062566
90,Batemans Bay,-35.7167,150.1833,56.1,47,0,9.93,AU,1669062567
91,Zyryanka,65.75,150.85,-20.76,96,100,6.33,RU,1669062568
92,Juneau,58.3019,-134.4197,44.6,92,100,27.63,US,1669062569
93,Hermanus,-34.4187,19.2345,64.8,73,85,2.66,ZA,1669062458
94,Umea,63.8284,20.2597,26.91,86,100,5.75,SE,1669062572
95,Tocopilla,-22.092,-70.1979,67.98,63,21,4.41,CL,1669062572
96,Paris,48.8534,2.3488,46.11,86,0,11.5,FR,1669062363
97,Riyadh,24.6877,46.7219,62.74,29,0,5.64,SA,1669062282
98,Henties Bay,-22.116,14.2845,62.42,80,6,9.19,NA,1669062574
99,Comodoro Rivadavia,-45.8667,-67.5,84.06,8,0,16.11,AR,1669062575
100,Ribeira Grande,38.5167,-28.7,68.4,88,40,17.27,PT,1669062575
101,Samarai,-10.6167,150.6667,80.87,79,99,5.5,PG,1669062576
102,Avarua,-21.2078,-159.775,78.85,57,18,13.8,CK,1669062577
103,Kruisfontein,-34.0033,24.7314,65.88,82,84,5.97,ZA,1669062569
104,Pevek,69.7008,170.3133,-7.96,97,100,11.79,RU,1669062578
105,Caravelas,-17.7125,-39.2481,72.46,91,100,7.02,BR,1669062579
106,Sladkovo,55.5284,70.3385,12.61,88,100,12.57,RU,1669062580
107,Ust-Kuyga,70.0167,135.6,-34.49,100,99,3.91,RU,1669062581
108,Tumbagaan,5.3656,120.3139,80.33,78,100,2.75,PH,1669062581
109,Mahibadhoo,3.7833,72.9667,80.92,77,89,13.96,MV,1669062582
110,Tuktoyaktuk,69.4541,-133.0374,15.8,92,100,2.3,CA,1669062583
111,Camacha,33.0833,-16.3333,63.82,77,40,8.05,PT,1669062583
112,Upernavik,72.7868,-56.1549,8.4,95,91,6.85,GL,1669062584
113,Quatre Cocos,-20.2078,57.7625,73.09,74,1,7.61,MU,1669062585
114,Taoudenni,22.6783,-3.9836,71.04,22,0,13.33,ML,1669062585
115,Boguchany,58.3814,97.4531,-9.98,96,87,4.59,RU,1669062586
116,Beyneu,45.3167,55.2,47.88,80,100,7.07,KZ,1669062587
117,Beya,53.0533,90.9139,17.01,83,100,2.17,RU,1669062587
118,Carnarvon,-24.8667,113.6333,73.62,57,39,8.93,AU,1669062588
119,Atuona,-9.8,-139.0333,77.67,67,12,17.58,PF,1669062484
120,Gazojak,41.1875,61.4036,49.53,61,90,0.74,TM,1669062589
121,Kloulklubed,7.0419,134.2556,77.5,78,87,10.13,PW,1669062489
122,Acapulco,16.8634,-99.8901,85.82,66,0,6.91,MX,1669062590
123,Alta Floresta,-9.8756,-56.0861,84.02,70,40,1.14,BR,1669062591
124,Neuquen,-38.9516,-68.0591,76.89,16,0,11.5,AR,1669062592
125,Sao Desiderio,-12.3633,-44.9733,75.67,78,100,4.7,BR,1669062345
126,Thompson,55.7435,-97.8558,15.96,86,75,10.36,CA,1669062593
127,Bilma,18.6853,12.9164,71.46,14,30,10.69,NE,1669062594
128,Matara,5.9485,80.5353,75.65,82,86,5.41,LK,1669062595
129,Nikolskoye,59.7035,30.7861,19.29,93,66,4.43,RU,1669062596
130,Valdivia,-39.8142,-73.2459,75.29,32,0,3.31,CL,1669062597
131,Rio Grande,-32.035,-52.0986,80.71,78,100,4.85,BR,1669062410
132,Mahebourg,-20.4081,57.7,73.26,88,20,4.61,MU,1669062598
133,Udimskiy,61.1417,45.9144,9.36,96,12,2.33,RU,1669062599
134,Tiarei,-17.5333,-149.3333,84.22,80,27,14.83,PF,1669062599
135,Naze,28.3667,129.4833,70.72,75,2,6.17,JP,1669062600
136,Namibe,-15.1961,12.1522,72.9,82,79,6.02,AO,1669062412
137,Horconcitos,8.4682,-81.8007,70.36,94,100,1.92,PA,1669062601
138,Ust-Maya,60.4167,134.5333,-26.5,100,99,0.87,RU,1669062603
139,Key West,24.5557,-81.7826,82.4,86,75,13.8,US,1669062575
140,Carutapera,-1.195,-46.02,79.7,75,55,7.14,BR,1669062604
141,Ahipara,-35.1667,173.1667,65.35,97,99,12.97,NZ,1669062605
142,Zeya,53.75,127.2667,-2.31,98,88,2.59,RU,1669062607
143,Oistins,13.0667,-59.5333,78.89,83,40,20.71,BB,1669062608
144,Humaita,-7.5061,-63.0208,90.3,51,99,0.49,BR,1669062609
145,Westport,41.1415,-73.3579,41.18,44,0,14.0,US,1669062511
146,Iqaluit,63.7506,-68.5145,17.33,86,75,6.91,CA,1669062611
147,Norman Wells,65.282,-126.8329,21.24,86,40,5.75,CA,1669062488
148,Alofi,-19.0595,-169.9187,80.49,74,75,10.36,NU,1669062613
149,Cabo San Lucas,22.8909,-109.9124,82.62,61,0,13.8,MX,1669062569
150,Bethel,41.3712,-73.414,40.35,38,0,14.97,US,1669062614
151,Yucca Valley,34.1142,-116.4322,66.7,14,31,5.01,US,1669062328
152,Revelstoke,50.9832,-118.2023,30.22,74,100,2.3,CA,1669062615
153,Fairbanks,64.8378,-147.7164,12.16,87,40,0.0,US,1669062592
154,La Ronge,55.1001,-105.2842,25.05,74,100,9.22,CA,1669062617
